LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1706146417.142190,1531751.000,56579,2,AX,1,100,0.162
1706146417.182190,1531791.000,56579,2,AX,1,100,0.165
1706146417.222190,1531831.000,56602,5,AX,1,100,0.156
1706146417.262190,1531871.000,56602,5,AX,1,100,0.165
1706146417.302191,1531911.000,56602,5,AX,1,100,0.161
1706146417.342191,1531951.000,56602,5,AX,1,100,0.165
1706146417.382190,1531991.000,56602,5,AX,1,100,0.161
1706146417.422190,1532031.000,56618,2,AX,1,100,0.162
1706146417.462190,1532071.000,56618,2,AX,1,100,0.158
1706146417.502190,1532111.000,56635,3,AX,1,100,0.154
1706146417.542191,1532151.000,56635,3,AX,1,100,0.162
1706146417.582191,1532191.000,56635,3,AX,1,100,0.167
1706146417.622190,1532231.000,56650,2,AX,1,100,0.166
1706146417.662190,1532271.000,56650,2,AX,1,100,0.169
1706146417.702190,1532311.000,56669,3,AX,1,100,0.157
1706146417.742190,1532351.000,56669,3,AX,1,100,0.165
1706146417.782190,1532391.000,56669,3,AX,1,100,0.163
1706146417.822191,1532431.000,56685,2,AX,1,100,0.165
1706146417.862190,1532471.000,56685,2,AX,1,100,0.158
1706146417.902190,1532511.000,56705,3,AX,1,100,0.164
1706146417.942190,1532551.000,56705,3,AX,1,100,0.158
1706146417.982190,1532591.000,56705,3,AX,1,100,0.168
1706146418.022190,1532631.000,56719,2,AX,1,100,0.158
1706146418.062190,1532671.000,56719,2,AX,1,100,0.162
1706146418.102190,1532711.000,56738,3,AX,1,100,0.162
1706146418.142190,1532751.000,56738,3,AX,1,100,0.157
1706146418.182190,1532791.000,56738,3,AX,1,100,0.165
1706146418.222190,1532831.000,56754,3,AX,1,100,0.165
1706146418.262190,1532871.000,56754,3,AX,1,100,0.164
1706146418.302190,1532911.000,56754,3,AX,1,100,0.161
1706146418.342191,1532951.000,56774,2,AX,1,100,0.162
1706146418.382190,1532991.000,56774,2,AX,1,100,0.164
1706146418.422190,1533031.000,56791,3,AX,1,100,0.173
1706146418.462190,1533071.000,56791,3,AX,1,100,0.164
1706146418.502190,1533111.000,56791,3,AX,1,100,0.150
1706146418.537857,1533146.667,56807,3,AX,1,100,0.159
1706146418.573524,1533182.333,56807,3,AX,1,100,0.167
1706146418.609190,1533218.000,56807,3,AX,1,100,0.160
1706146418.649190,1533258.000,56824,2,AX,1,100,0.182
1706146418.689190,1533298.000,56824,2,AX,1,100,0.170
1706146418.729190,1533338.000,56841,3,AX,1,100,0.175
1706146418.769190,1533378.000,56841,3,AX,1,100,0.163
1706146418.809190,1533418.000,56841,3,AX,1,100,0.169
1706146418.849190,1533458.000,56856,2,AX,1,100,0.153
1706146418.889190,1533498.000,56856,2,AX,1,100,0.191
1706146418.929190,1533538.000,56875,3,AX,1,100,0.148
1706146418.969190,1533578.000,56875,3,AX,1,100,0.171
1706146419.009190,1533618.000,56875,3,AX,1,100,0.160
1706146419.049190,1533658.000,56891,2,AX,1,100,0.176
1706146419.089190,1533698.000,56891,2,AX,1,100,0.169
1706146419.129190,1533738.000,56908,3,AX,1,100,0.161
1706146419.169190,1533778.000,56908,3,AX,1,100,0.159
1706146419.209190,1533818.000,56908,3,AX,1,100,0.156
1706146419.249190,1533858.000,56927,2,AX,1,100,0.168
1706146419.289190,1533898.000,56927,2,AX,1,100,0.172
1706146419.329190,1533938.000,56942,3,AX,1,100,0.166
1706146419.369190,1533978.000,56942,3,AX,1,100,0.161
1706146419.409190,1534018.000,56942,3,AX,1,100,0.161
1706146419.448690,1534057.500,56960,2,AX,1,100,0.167
1706146419.488190,1534097.000,56960,2,AX,1,100,0.168
1706146419.528190,1534137.000,56977,3,AX,1,100,0.161
1706146419.568190,1534177.000,56977,3,AX,1,100,0.167
1706146419.608190,1534217.000,56977,3,AX,1,100,0.164
1706146419.648524,1534257.333,56994,3,AX,1,100,0.169
1706146419.688857,1534297.667,56994,3,AX,1,100,0.163
1706146419.729190,1534338.000,56994,3,AX,1,100,0.160
1706146419.768690,1534377.500,57009,2,AX,1,100,0.165
1706146419.808190,1534417.000,57009,2,AX,1,100,0.172
1706146419.848524,1534457.333,57027,3,AX,1,100,0.169
1706146419.888857,1534497.667,57027,3,AX,1,100,0.165
1706146419.929190,1534538.000,57027,3,AX,1,100,0.149
1706146419.969190,1534578.000,57045,2,AX,1,100,0.169
1706146420.009190,1534618.000,57045,2,AX,1,100,0.171
1706146420.048857,1534657.667,57063,3,AX,1,100,0.167
1706146420.088524,1534697.333,57063,3,AX,1,100,0.169
1706146420.128190,1534737.000,57063,3,AX,1,100,0.165
1706146420.168190,1534777.000,57078,2,AX,1,100,0.164
1706146420.208190,1534817.000,57078,2,AX,1,100,0.162
1706146420.248190,1534857.000,57095,3,AX,1,100,0.175
1706146420.288190,1534897.000,57095,3,AX,1,100,0.165
1706146420.328190,1534937.000,57095,3,AX,1,100,0.166
1706146420.364190,1534973.000,57112,3,AX,1,100,0.162
1706146420.400190,1535009.000,57112,3,AX,1,100,0.165
1706146420.436190,1535045.000,57112,3,AX,1,100,0.170
1706146420.476190,1535085.000,57130,2,AX,1,100,0.171
1706146420.516190,1535125.000,57130,2,AX,1,100,0.162
1706146420.556190,1535165.000,57145,3,AX,1,100,0.162
1706146420.596190,1535205.000,57145,3,AX,1,100,0.165
1706146420.636190,1535245.000,57145,3,AX,1,100,0.164
1706146420.676190,1535285.000,57162,2,AX,1,100,0.169
1706146420.716190,1535325.000,57162,2,AX,1,100,0.168
