LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1709251392.214875,1320761.000,23802,3,MZ,1,100,32
1709251392.254874,1320801.000,23802,3,MZ,1,100,29
1709251392.294872,1320841.000,23802,3,MZ,1,100,31
1709251392.334871,1320881.000,23819,2,MZ,1,100,32
1709251392.374869,1320921.000,23819,2,MZ,1,100,30
1709251392.414868,1320961.000,23834,3,MZ,1,100,30
1709251392.454866,1321001.000,23834,3,MZ,1,100,30
1709251392.494865,1321041.000,23834,3,MZ,1,100,31
1709251392.534864,1321081.000,23851,2,MZ,1,100,30
1709251392.574862,1321121.000,23851,2,MZ,1,100,30
1709251392.614861,1321161.000,23867,3,MZ,1,100,31
1709251392.654860,1321201.000,23867,3,MZ,1,100,31
1709251392.694858,1321241.000,23867,3,MZ,1,100,30
1709251392.734357,1321280.500,23884,2,MZ,1,100,30
1709251392.773855,1321320.000,23884,2,MZ,1,100,31
1709251392.813854,1321360.000,23901,3,MZ,1,100,30
1709251392.853853,1321400.000,23901,3,MZ,1,100,31
1709251392.893851,1321440.000,23901,3,MZ,1,100,30
1709251392.934350,1321480.500,23916,2,MZ,1,100,29
1709251392.974849,1321521.000,23916,2,MZ,1,100,31
1709251393.014514,1321560.667,23932,3,MZ,1,100,31
1709251393.054179,1321600.333,23932,3,MZ,1,100,30
1709251393.093844,1321640.000,23932,3,MZ,1,100,31
1709251393.134176,1321680.333,23950,3,MZ,1,100,31
1709251393.174508,1321720.667,23950,3,MZ,1,100,30
1709251393.214840,1321761.000,23950,3,MZ,1,100,30
1709251393.254339,1321800.500,23966,2,MZ,1,100,30
1709251393.293838,1321840.000,23966,2,MZ,1,100,31
1709251393.329503,1321875.667,23981,3,MZ,1,100,30
1709251393.365168,1321911.333,23981,3,MZ,1,100,31
1709251393.400834,1321947.000,23981,3,MZ,1,100,31
1709251393.440499,1321986.667,23998,3,MZ,1,100,29
1709251393.480164,1322026.333,23998,3,MZ,1,100,30
1709251393.519830,1322066.000,23998,3,MZ,1,100,30
1709251393.560328,1322106.500,24015,2,MZ,1,100,30
1709251393.600827,1322147.000,24015,2,MZ,1,100,30
1709251393.640492,1322186.667,24031,3,MZ,1,100,31
1709251393.680157,1322226.333,24031,3,MZ,1,100,30
1709251393.719823,1322266.000,24031,3,MZ,1,100,31
1709251393.759821,1322306.000,24046,2,MZ,1,100,31
1709251393.799820,1322346.000,24046,2,MZ,1,100,30
1709251393.839818,1322386.000,24063,3,MZ,1,100,30
1709251393.879817,1322426.000,24063,3,MZ,1,100,30
1709251393.919816,1322466.000,24063,3,MZ,1,100,30
1709251393.959814,1322506.000,24080,2,MZ,1,100,30
1709251393.999813,1322546.000,24080,2,MZ,1,100,30
1709251394.039812,1322586.000,24098,3,MZ,1,100,31
1709251394.079810,1322626.000,24098,3,MZ,1,100,30
